canonical_name,id,species,value_reference,quantity_reference,moisture_airdry,backtransformed,source_short,source_long,location_sample,type_tissue,plant_agg,plants_sampled
gwdd_abies_alba_wood_mc0,123255,Abies alba,0.4561,Ovendry SG/Density,,0,Sargent 1884,"Sargent 1884. Report on the Forests of North America (Exclusive of Mexico). Washington, Government Printing Office. Part II. The Woods of the United States.",,,,
gwdd_abies_alba_wood_mc12,10084,Abies alba,0.46,Airdry SG/Density,12,0,CIRAD Xylotheque,"Langbour, P., Sébastien, P., and Thibaut, B. 2019. Description of the Cirad wood collection in Montpellier, France, representing eight thousand identified species. BOIS ET FORÈTS DES TROPIQUES n° 339, p.7-16. Available at: / Previously included through: Detienne, P., Jacquet P., and Mariaux, A. 1982. Manuel d'Identification des Bois Tropicaux, Tome 3, Guyane Francaise. Centre Technique Forestier Tropical, Nogent-sur-Marne, France.; Pierre Détienne, P. and Jacquet, P. 1983. Atlas d'Identification des Bois de l'Amazonie et des Régions Voisines. Centre Technique Forestier Tropical, Nogent-sur-Marne, 640 pp.",,,0,1
gwdd_abies_alba_wood_mc12,10085,Abies alba,0.41,Airdry SG/Density,12,0,CIRAD Xylotheque,"Langbour, P., Sébastien, P., and Thibaut, B. 2019. Description of the Cirad wood collection in Montpellier, France, representing eight thousand identified species. BOIS ET FORÈTS DES TROPIQUES n° 339, p.7-16. Available at: / Previously included through: Detienne, P., Jacquet P., and Mariaux, A. 1982. Manuel d'Identification des Bois Tropicaux, Tome 3, Guyane Francaise. Centre Technique Forestier Tropical, Nogent-sur-Marne, France.; Pierre Détienne, P. and Jacquet, P. 1983. Atlas d'Identification des Bois de l'Amazonie et des Régions Voisines. Centre Technique Forestier Tropical, Nogent-sur-Marne, 640 pp.",,,0,1
gwdd_abies_amabilis_wood_mc0,123248,Abies amabilis,0.4228,Ovendry SG/Density,,0,Sargent 1884,"Sargent 1884. Report on the Forests of North America (Exclusive of Mexico). Washington, Government Printing Office. Part II. The Woods of the United States.",,,,
gwdd_abies_balsamea_wood_mc0,123249,Abies balsamea,0.3819,Ovendry SG/Density,,0,Sargent 1884,"Sargent 1884. Report on the Forests of North America (Exclusive of Mexico). Washington, Government Printing Office. Part II. The Woods of the United States.",,,,
gwdd_abies_bracteata_wood_mc0,123250,Abies bracteata,0.6783,Ovendry SG/Density,,0,Sargent 1884,"Sargent 1884. Report on the Forests of North America (Exclusive of Mexico). Washington, Government Printing Office. Part II. The Woods of the United States.",,,,
gwdd_abies_concolor_wood_mc0,123251,Abies concolor,0.3638,Ovendry SG/Density,,0,Sargent 1884,"Sargent 1884. Report on the Forests of North America (Exclusive of Mexico). Washington, Government Printing Office. Part II. The Woods of the United States.",,,,
gwdd_abies_fraseri_wood_mc0,123252,Abies fraseri,0.3565,Ovendry SG/Density,,0,Sargent 1884,"Sargent 1884. Report on the Forests of North America (Exclusive of Mexico). Washington, Government Printing Office. Part II. The Woods of the United States.",,,,
gwdd_abies_grandis_wood_mc0,123253,Abies grandis,0.3545,Ovendry SG/Density,,0,Sargent 1884,"Sargent 1884. Report on the Forests of North America (Exclusive of Mexico). Washington, Government Printing Office. Part II. The Woods of the United States.",,,,
gwdd_abies_magnifica_wood_mc0,123254,Abies magnifica,0.4701,Ovendry SG/Density,,0,Sargent 1884,"Sargent 1884. Report on the Forests of North America (Exclusive of Mexico). Washington, Government Printing Office. Part II. The Woods of the United States.",,,,
gwdd_abies_numidica_wood_mc12,10086,Abies numidica,0.86,Airdry SG/Density,12,0,CIRAD Xylotheque,"Langbour, P., Sébastien, P., and Thibaut, B. 2019. Description of the Cirad wood collection in Montpellier, France, representing eight thousand identified species. BOIS ET FORÈTS DES TROPIQUES n° 339, p.7-16. Available at: / Previously included through: Detienne, P., Jacquet P., and Mariaux, A. 1982. Manuel d'Identification des Bois Tropicaux, Tome 3, Guyane Francaise. Centre Technique Forestier Tropical, Nogent-sur-Marne, France.; Pierre Détienne, P. and Jacquet, P. 1983. Atlas d'Identification des Bois de l'Amazonie et des Régions Voisines. Centre Technique Forestier Tropical, Nogent-sur-Marne, 640 pp.",,,0,1
gwdd_abies_spectabilis_wood_mc12,37354,Abies spectabilis,0.388,Airdry SG/Density,12,0,Zhang et al. 2011,"Zhang, Shi-Bao, Slik, J.W. Ferry, Zhang, Jiao-Lin, and Kun-Fang Cao 2011. Spatial patterns of wood traits in China are controlled by phylogeny and the environment. Global Ecology and Biogeography 20, 241-250.",,,1,
gwdd_abrahamia_ditimena_wood_mc12,10087,Abrahamia ditimena,0.74,Airdry SG/Density,12,0,CIRAD Xylotheque,"Langbour, P., Sébastien, P., and Thibaut, B. 2019. Description of the Cirad wood collection in Montpellier, France, representing eight thousand identified species. BOIS ET FORÈTS DES TROPIQUES n° 339, p.7-16. Available at: / Previously included through: Detienne, P., Jacquet P., and Mariaux, A. 1982. Manuel d'Identification des Bois Tropicaux, Tome 3, Guyane Francaise. Centre Technique Forestier Tropical, Nogent-sur-Marne, France.; Pierre Détienne, P. and Jacquet, P. 1983. Atlas d'Identification des Bois de l'Amazonie et des Régions Voisines. Centre Technique Forestier Tropical, Nogent-sur-Marne, 640 pp.",,,0,1
