source_record_id,name,lb_ft3,g_cm3
1,"Acetaminophen Powder, Unmilled",43.0,0.688794
2,"Acetylene Black, 100% Compressed",35.0,0.560646
3,Acetylsalicyic Acid,20.0,0.320369
4,Acrylamide,34.0,0.54463
5,"Acrylic Granules, Coarse",40.0,0.64
6,"Acrylic Granules, Fine",36.0,0.58
7,Acrylonitrile Butadien Styrene (Abs) Resin,50.0,0.8
8,Acrylonitrile Butadiene Styrene (Abs) Granules,36.0,0.58
9,Activated Alumina,42.5,0.68
10,Activated Carbon,32.5,0.52
11,Actylene Black,45.5,0.73
12,Aero Xanthates,112.5,1.8
13,Aerolyte,51.0,0.82
14,"Aerosil, Fumed Silica",32.0,0.51
15,"Aerosil, Silicon Dioxide",30.0,0.48
16,Alaluren,112.0,1.79
17,Ale Cider Drink Mix,32.0,0.51
18,Ale Powder,61.0,0.98
19,"Ales ,Dehydrated",82.0,1.31
20,Alinoc,80.0,1.28
21,"Alkyd Resin, Flaked",50.0,0.8
22,All Plant Protein Powder,45.5,0.73
23,Allumina Powder,50.0,0.8
24,Almond & Pecan Blend,55.0,0.88
25,Almond Flour,68.0,1.09
26,Almonds,29.0,0.46
27,"Almonds, Blanched",41.6,0.67
28,"Almonds, Blanched & Sliced",27.2,0.44
29,Alum Pigment,50.0,0.8
30,Alumia Trihyrate,32.0,0.51
31,Alumina Hydrate,68.0,1.09
32,"Alumina Hydrate, Coarse",60.0,0.96
33,Alumina Oxide Powder,17.0,0.27
34,Alumina Powder,15.2,0.24
35,Alumina Silica,48.0,0.77
36,Alumina Trihydrate,52.0,0.83
37,"Alumina, Ceramic Powder",60.0,0.96
38,"Alumina, Wet Scrubber Mud",60.0,0.96
39,Aluminates Mix,15.0,0.24
40,Aluminium Hydroxide,91.0,1.46
42,Aluminum Dross,29.0,0.46
43,Aluminum Flux,52.5,0.84
44,Aluminum Hydroxide,26.5,0.42
45,Aluminum Oxide,36.0,0.58
46,Aluminum Silicate,31.0,0.5
47,Aluminum Sulfate Granules,58.0,0.93
48,Aluminum Trihydrate,42.5,0.68
49,Amberlite,20.0,0.320369
50,Ameraffin Wax,22.0,0.35
51,Amerinc-Ferrosillcon,23.0,0.37
52,Ammonium Bicarbonate,9.6,0.15
53,Ammonium Carbonate,46.4,0.74
54,Ammonium Chloride,13.0,0.21
55,Ammonium Molybdate,27.0,0.43
56,Ammonium Nitrate,34.0,0.54463
57,Ammonium Sulfate,69.0,1.11
58,"Ammonium Sulfate, Fertilizer",25.0,0.4
59,Amonia Nitrate,50.0,0.8
60,Amonium Dimolybdate,30.0,0.48
61,Amorhous Silica Fume,33.0,0.53
62,Anhydorous Aluminum Silicate Clay,30.0,0.48
63,Anhydrous Sodium Sulfate,40.0,0.64
64,"Animal Feed, Dry Blend",60.0,0.96
65,"Annatto Seed, Oil Soaked",34.0,0.54463
66,"Annatto Seed, Water Soaked",56.0,0.9
67,Apple Bits,74.0,1.19
68,Apple Cider Drink Mix,56.0,0.9
69,Apple Cinnamon Crunch,54.0,0.86
70,Apple Glaze,27.0,0.43
71,Aqualon Cellulose Gum,22.0,0.35
72,Aquarium Gravel,65.0,1.04
73,Arabic Gum,33.6,0.54
74,"Arael, Unpelletized",66.0,1.06
75,Araformaldehyde,35.0,0.560646
76,Arbocel,55.0,0.88
77,Arika,16.0,0.26
78,Aromatic Carboxylic Anhydride,25.0,0.4
79,Artifical Vanilla,75.0,1.2
80,Asbestos,30.0,0.48
81,Ashalt,103.0,1.65
82,Ashalt Base,50.0,0.8
83,Aspertame,39.0,0.62
84,Aspirin Granulation,34.0,0.54463
85,Atomite,43.0,0.688794
86,Atomite And Vinyl Resin,46.0,0.74
87,Atrazine,42.0,0.67
88,Attaclay,29.0,0.46
89,Attapulgite Clay,26.5,0.42
90,Augratin Seasoning,42.0,0.67
91,Azdel Regrind,29.5,0.47
92,"Azdel, Black Plastic Regrind",29.5,0.47
93,Baby Food,27.2,0.44
